予約ID,顧客ID,部屋番号,宿泊人数,チェックイン日,チェックアウト日,チェックイン時間,チェックアウト時間,宿泊プラン,予約経路,客層,シーズン区分
R00001,c1822,101,1,2025-01-01,2025-01-03,18:00,10:00,2食付き,直接,遠征,最繁忙期
R00002,c0411,201,2,2025-01-01,2025-01-03,19:00,9:00,2食付き,直接,遠征,最繁忙期
R00003,c0682,216,1,2025-01-01,2025-01-03,15:00,10:00,朝食付き,直接,観光,最繁忙期
R00004,c1003,203,1,2025-01-01,2025-01-03,16:00,9:00,朝食付き,OTA,観光,最繁忙期
R00005,c0409,213,2,2025-01-01,2025-01-03,16:00,10:00,2食付き,直接,観光,最繁忙期
R00006,c1797,206,2,2025-01-01,2025-01-02,18:00,10:00,2食付き,OTA,遠征,最繁忙期
R00007,c0596,205,2,2025-01-01,2025-01-04,17:00,10:00,2食付き,直接,観光,最繁忙期
R00008,c0386,212,1,2025-01-01,2025-01-03,16:00,9:00,2食付き,直接,観光,最繁忙期
R00009,c0045,215,1,2025-01-01,2025-01-02,17:00,9:00,2食付き,直接,その他,最繁忙期
R00010,c0099,208,1,2025-01-01,2025-01-02,19:00,10:00,2食付き,直接,遠征,最繁忙期
R00011,c1438,207,1,2025-01-01,2025-01-04,15:00,10:00,朝食付き,直接,観光,最繁忙期
R00012,c1241,217,1,2025-01-01,2025-01-02,19:00,9:00,2食付き,OTA,遠征,最繁忙期
R00013,c1594,214,2,2025-01-01,2025-01-02,19:00,8:00,2食付き,OTA,遠征,最繁忙期
R00014,c1410,211,2,2025-01-01,2025-01-02,20:00,10:00,2食付き,OTA,その他,最繁忙期
R00015,c0185,202,1,2025-01-01,2025-01-04,15:00,9:00,2食付き,直接,観光,最繁忙期
R00016,c0103,210,1,2025-01-01,2025-01-03,17:00,9:00,2食付き,直接,観光,最繁忙期
R00017,c1553,210,1,2025-01-02,2025-01-04,19:00,10:00,,直接,遠征,最繁忙期
R00018,c1800,205,1,2025-01-02,2025-01-05,15:00,10:00,2食付き,OTA,観光,最繁忙期
R00019,c1743,206,2,2025-01-02,2025-01-03,16:00,10:00,朝食付き,直接,観光,最繁忙期
R00020,c0327,211,1,2025-01-02,2025-01-03,18:00,8:00,素泊まり,OTA,遠征,最繁忙期
R00021,c0060,217,1,2025-01-02,2025-01-05,17:00,10:00,2食付き,直接,観光,最繁忙期
R00022,c1779,215,1,2025-01-02,2025-01-04,16:00,9:00,2食付き,直接,観光,最繁忙期
R00023,c1386,216,2,2025-01-02,2025-01-04,18:00,9:00,朝食付き,OTA,遠征,最繁忙期
R00024,c1016,213,1,2025-01-02,2025-01-03,18:00,10:00,2食付き,OTA,遠征,最繁忙期
R00025,c0826,214,1,2025-01-02,2025-01-03,16:00,10:00,朝食付き,OTA,観光,最繁忙期
R00026,c1019,101,1,2025-01-02,2025-01-05,16:00,9:00,2食付き,直接,観光,最繁忙期
R00027,c1306,201,2,2025-01-02,2025-01-05,17:00,9:00,2食付き,OTA,観光,最繁忙期
R00028,c0457,203,2,2025-01-02,2025-01-05,17:00,10:00,2食付き,直接,観光,最繁忙期
R00029,c0005,202,2,2025-01-02,2025-01-04,19:00,10:00,素泊まり,OTA,遠征,最繁忙期
R00030,c1684,212,2,2025-01-02,2025-01-04,19:00,10:00,2食付き,OTA,遠征,最繁忙期
R00031,c0693,208,1,2025-01-02,2025-01-03,18:00,9:00,2食付き,直接,遠征,最繁忙期
R00032,c1959,207,1,2025-01-02,2025-01-05,17:00,9:00,2食付き,OTA,観光,最繁忙期
R00033,c1887,101,1,2025-01-03,2025-01-06,15:00,10:00,2食付き,OTA,観光,最繁忙期
R00034,c1806,207,2,2025-01-03,2025-01-04,15:00,10:00,2食付き,直接,観光,最繁忙期
R00035,c0274,201,1,2025-01-03,2025-01-04,19:00,9:00,2食付き,OTA,遠征,最繁忙期
R00036,c0430,217,2,2025-01-03,2025-01-05,19:00,10:00,2食付き,OTA,遠征,最繁忙期
R00037,c1194,205,2,2025-01-03,2025-01-04,18:00,10:00,2食付き,直接,その他,最繁忙期
R00038,c1373,214,1,2025-01-03,2025-01-05,19:00,8:00,素泊まり,直接,遠征,最繁忙期
R00039,c0605,215,1,2025-01-03,2025-01-04,19:00,10:00,2食付き,OTA,遠征,最繁忙期
R00040,c1607,211,2,2025-01-03,2025-01-05,15:00,9:00,2食付き,直接,観光,最繁忙期
R00041,c1131,203,1,2025-01-03,2025-01-05,16:00,10:00,,直接,観光,最繁忙期
R00042,c1547,208,1,2025-01-03,2025-01-06,16:00,9:00,2食付き,OTA,観光,最繁忙期
R00043,c1506,206,1,2025-01-03,2025-01-04,20:00,9:00,素泊まり,OTA,その他,最繁忙期
R00044,c0956,213,1,2025-01-03,2025-01-06,16:00,9:00,2食付き,直接,観光,最繁忙期
R00045,c1606,216,2,2025-01-03,2025-01-04,21:00,10:00,2食付き,直接,その他,最繁忙期
R00046,c0454,212,1,2025-01-03,2025-01-04,21:00,9:00,2食付き,直接,その他,最繁忙期
R00047,c0019,209,1,2025-01-03,2025-01-05,15:00,10:00,2食付き,OTA,観光,最繁忙期
R00048,c1876,210,1,2025-01-03,2025-01-06,17:00,9:00,2食付き,直接,観光,最繁忙期
R00049,c0608,202,1,2025-01-03,2025-01-05,15:00,10:00,2食付き,OTA,観光,最繁忙期
R00050,c1290,212,1,2025-01-04,2025-01-05,17:00,7:00,朝食付き,直接,ビジネス,通常期
R00051,c1530,203,1,2025-01-04,2025-01-05,15:00,10:00,,OTA,観光,通常期
R00052,c1143,216,1,2025-01-04,2025-01-05,15:00,5:00,素泊まり,OTA,登山,通常期
R00053,c0648,211,1,2025-01-04,2025-01-07,18:00,8:00,素泊まり,OTA,ビジネス,通常期
R00054,c1901,205,1,2025-01-04,2025-01-05,17:00,7:00,朝食付き,直接,ビジネス,通常期
R00055,c0064,101,2,2025-01-04,2025-01-05,19:00,9:00,素泊まり,OTA,遠征,通常期
R00056,c1978,213,2,2025-01-04,2025-01-08,18:00,7:00,素泊まり,OTA,ビジネス,通常期
R00057,c1101,207,1,2025-01-04,2025-01-06,17:00,7:00,素泊まり,OTA,ビジネス,通常期
R00058,c0292,202,1,2025-01-04,2025-01-06,15:00,8:00,2食付き,OTA,登山,通常期
R00059,c1746,201,1,2025-01-04,2025-01-06,18:00,8:00,素泊まり,OTA,遠征,通常期
R00060,c0514,206,1,2025-01-04,2025-01-06,17:00,9:00,素泊まり,OTA,登山,通常期
R00061,c0584,215,1,2025-01-04,2025-01-06,16:00,9:00,朝食付き,直接,観光,通常期
R00062,c1161,209,2,2025-01-04,2025-01-08,18:00,8:00,朝食付き,直接,ビジネス,通常期
R00063,c1516,208,2,2025-01-04,2025-01-05,17:00,10:00,素泊まり,直接,その他,通常期
R00064,c0998,214,1,2025-01-04,2025-01-07,18:00,8:00,素泊まり,OTA,ビジネス,通常期
R00065,c1284,210,1,2025-01-04,2025-01-06,18:00,10:00,素泊まり,OTA,遠征,通常期
R00066,c1857,217,1,2025-01-04,2025-01-05,17:00,9:00,素泊まり,OTA,登山,通常期
R00067,c1582,210,2,2025-01-05,2025-01-08,16:00,9:00,朝食付き,直接,観光,通常期
R00068,c1737,217,1,2025-01-05,2025-01-06,16:00,10:00,朝食付き,OTA,観光,通常期
R00069,c0735,208,1,2025-01-06,2025-01-08,17:00,7:00,朝食付き,OTA,ビジネス,通常期
R00070,c1061,201,2,2025-01-06,2025-01-07,16:00,10:00,素泊まり,OTA,観光,通常期
R00071,c1068,217,2,2025-01-06,2025-01-07,15:00,10:00,素泊まり,OTA,登山,通常期
R00072,c1712,101,1,2025-01-06,2025-01-08,18:00,8:00,素泊まり,OTA,ビジネス,通常期
R00073,c1624,206,2,2025-01-06,2025-01-08,18:00,8:00,2食付き,直接,ビジネス,通常期
R00074,c0576,211,1,2025-01-06,2025-01-08,18:00,7:00,素泊まり,OTA,ビジネス,通常期
R00075,c0987,207,2,2025-01-06,2025-01-07,17:00,8:00,2食付き,OTA,ビジネス,通常期
R00076,c1214,209,1,2025-01-06,2025-01-09,16:00,9:00,素泊まり,直接,観光,通常期
R00077,c1059,203,2,2025-01-06,2025-01-09,15:00,9:00,素泊まり,OTA,観光,通常期
R00078,c1243,205,2,2025-01-06,2025-01-07,17:00,10:00,2食付き,直接,観光,通常期
R00079,c0344,212,2,2025-01-06,2025-01-10,17:00,7:00,朝食付き,OTA,ビジネス,通常期
R00080,c0415,216,2,2025-01-06,2025-01-07,15:00,10:00,朝食付き,直接,観光,通常期
R00081,c1089,208,1,2025-01-07,2025-01-08,19:00,10:00,朝食付き,OTA,遠征,通常期
R00082,c1429,205,2,2025-01-07,2025-01-08,19:00,10:00,素泊まり,OTA,遠征,通常期
R00083,c1715,101,1,2025-01-07,2025-01-09,16:00,9:00,朝食付き,OTA,登山,通常期
R00084,c0528,210,1,2025-01-07,2025-01-09,17:00,8:00,,OTA,ビジネス,通常期
